"ArchivePath","Source","MB"
"small-model-memory-lab\runs\kaggle-ordo-rust-lora-v0-3\ordo-rust-memory-lora-v0-3\tokenizer.json","C:\Projects\small-model-memory-lab\runs\kaggle-ordo-rust-lora-v0-3\ordo-rust-memory-lora-v0-3\tokenizer.json","10.894"
"small-model-memory-lab\runs\kaggle-ordo-rust-lora-v0-3\ordo-rust-memory-lora-v0-3\tokenizer_config.json","C:\Projects\small-model-memory-lab\runs\kaggle-ordo-rust-lora-v0-3\ordo-rust-memory-lora-v0-3\tokenizer_config.json","0.001"
"small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2__adapter_config.json","C:\Projects\small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2__adapter_config.json","0.001"
"small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural_lora_eval_results.json","C:\Projects\small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural_lora_eval_results.json","0.012"
"small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural_training_preview.json","C:\Projects\small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural_training_preview.json","0.006"
"small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2\adapter_config.json","C:\Projects\small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2\adapter_config.json","0.001"
"small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2\chat_template.jinja","C:\Projects\small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2\chat_template.jinja","0.004"
"small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2\README.md","C:\Projects\small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2\README.md","0.005"
"small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2\tokenizer.json","C:\Projects\small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2\tokenizer.json","10.894"
"small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2\tokenizer_config.json","C:\Projects\small-model-memory-lab\runs\kaggle-structural-lora-v0-2\structural-primitive-lora-v0-2\tokenizer_config.json","0.001"
"small-model-memory-lab\runs\kaggle-structural-lora-v1\structural-primitive-lora__adapter_config.json","C:\Projects\small-model-memory-lab\runs\kaggle-structural-lora-v1\structural-primitive-lora__adapter_config.json","0.001"
"small-model-memory-lab\runs\kaggle-structural-lora-v1\structural_lora_eval_results.json","C:\Projects\small-model-memory-lab\runs\kaggle-structural-lora-v1\structural_lora_eval_results.json","0.012"
"small-model-memory-lab\runs\kaggle-structural-lora-v1\structural_training_preview.json","C:\Projects\small-model-memory-lab\runs\kaggle-structural-lora-v1\structural_training_preview.json","0.008"
"small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\logs\llama-server.err.log","C:\Projects\small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\logs\llama-server.err.log","0.007"
"small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\logs\llama-server.out.log","C:\Projects\small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\logs\llama-server.out.log","0"
"small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\logs-unified\llama-server.err.log","C:\Projects\small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\logs-unified\llama-server.err.log","1.225"
"small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\logs-unified\llama-server.out.log","C:\Projects\small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\logs-unified\llama-server.out.log","0"
"small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\slots\secret-memory-q4.slot","C:\Projects\small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\slots\secret-memory-q4.slot","0"
"small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\slots-unified\secret-memory-q4-unified.slot","C:\Projects\small-model-memory-lab\runs\kv-memory-qwen35-2b-q4km\slots-unified\secret-memory-q4-unified.slot","0"
"small-model-memory-lab\runs\live-lora-prompt-matrix\adapter_config_removed_keys.json","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\adapter_config_removed_keys.json","0"
"small-model-memory-lab\runs\live-lora-prompt-matrix\outputs.json","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\outputs.json","0.176"
"small-model-memory-lab\runs\live-lora-prompt-matrix\report.json","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\report.json","0.007"
"small-model-memory-lab\runs\live-lora-prompt-matrix\sanitized_adapter_config.json","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\sanitized_adapter_config.json","0.001"
"small-model-memory-lab\runs\live-lora-prompt-matrix\strict_first_answer_outputs.json","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\strict_first_answer_outputs.json","0.086"
"small-model-memory-lab\runs\live-lora-prompt-matrix\strict_first_answer_summary.csv","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\strict_first_answer_summary.csv","0.001"
"small-model-memory-lab\runs\live-lora-prompt-matrix\strict_first_answer_trial_rows.csv","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\strict_first_answer_trial_rows.csv","0.054"
"small-model-memory-lab\runs\live-lora-prompt-matrix\summary.csv","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\summary.csv","0.001"
"small-model-memory-lab\runs\live-lora-prompt-matrix\trial_rows.csv","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\trial_rows.csv","0.016"
"small-model-memory-lab\runs\live-lora-prompt-matrix\trimmed_outputs.json","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\trimmed_outputs.json","0.094"
"small-model-memory-lab\runs\live-lora-prompt-matrix\trimmed_summary.csv","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\trimmed_summary.csv","0.001"
"small-model-memory-lab\runs\live-lora-prompt-matrix\trimmed_trial_rows.csv","C:\Projects\small-model-memory-lab\runs\live-lora-prompt-matrix\trimmed_trial_rows.csv","0.066"
"small-model-memory-lab\runs\live-memory-prompt-benchmark\outputs.json","C:\Projects\small-model-memory-lab\runs\live-memory-prompt-benchmark\outputs.json","0.209"
"small-model-memory-lab\runs\live-memory-prompt-benchmark\report.json","C:\Projects\small-model-memory-lab\runs\live-memory-prompt-benchmark\report.json","0.008"
"small-model-memory-lab\runs\live-memory-prompt-benchmark\summary.csv","C:\Projects\small-model-memory-lab\runs\live-memory-prompt-benchmark\summary.csv","0.001"
"small-model-memory-lab\runs\live-memory-prompt-benchmark\trial_rows.csv","C:\Projects\small-model-memory-lab\runs\live-memory-prompt-benchmark\trial_rows.csv","0.017"
"small-model-memory-lab\runs\ordo-build-suite-20260608-175755\summary.csv","C:\Projects\small-model-memory-lab\runs\ordo-build-suite-20260608-175755\summary.csv","0"
"small-model-memory-lab\runs\ordo-build-suite-20260608-175755\trial_rows.csv","C:\Projects\small-model-memory-lab\runs\ordo-build-suite-20260608-175755\trial_rows.csv","0"
"small-model-memory-lab\runs\ordo-extended-suite-20260608-185020\summary.csv","C:\Projects\small-model-memory-lab\runs\ordo-extended-suite-20260608-185020\summary.csv","0"
"small-model-memory-lab\runs\ordo-extended-suite-20260608-185020\trial_rows.csv","C:\Projects\small-model-memory-lab\runs\ordo-extended-suite-20260608-185020\trial_rows.csv","0.001"
"small-model-memory-lab\runs\ordo-extended-suite-20260608-185527\summary.csv","C:\Projects\small-model-memory-lab\runs\ordo-extended-suite-20260608-185527\summary.csv","0"
"small-model-memory-lab\runs\ordo-extended-suite-20260608-185527\trial_rows.csv","C:\Projects\small-model-memory-lab\runs\ordo-extended-suite-20260608-185527\trial_rows.csv","0.001"
"small-model-memory-lab\runs\ordo-extended-suite-20260608-190030\summary.csv","C:\Projects\small-model-memory-lab\runs\ordo-extended-suite-20260608-190030\summary.csv","0"
"small-model-memory-lab\runs\ordo-extended-suite-20260608-190030\trial_rows.csv","C:\Projects\small-model-memory-lab\runs\ordo-extended-suite-20260608-190030\trial_rows.csv","0.001"
"small-model-memory-lab\runs\ordo-rust-lora-local\ordo_rust_training_preview.json","C:\Projects\small-model-memory-lab\runs\ordo-rust-lora-local\ordo_rust_training_preview.json","0.033"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\prefill.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\prefill.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\primitive_prefix.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\primitive_prefix.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\summary.csv","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\summary.csv","0.006"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\primitive_cache.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-average-speed\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\baseline.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-discount-tax\primitive_cache.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\baseline.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-inventory-available\primitive_cache.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\baseline.response.json","0.002"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\primitive_cache.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-linear-equation\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\baseline.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-printer-rate\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\primitive_cache.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-probability-without-replacement\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\baseline.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\primitive_cache.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ratio-mixture\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\baseline.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-schedule-finish\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\baseline.response.json","0.002"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-subscription-total\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-ticket-table\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-tiered-pricing\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\baseline.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-112911\compute-weighted-average\primitive_cache.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\prefill.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\prefill.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\primitive_prefix.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\primitive_prefix.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\slot_0_erase.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\slot_0_erase.json","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\slot_1_erase.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\slot_1_erase.json","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\summary.csv","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\summary.csv","0.006"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-average-speed\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\baseline.response.json","0.002"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-discount-tax\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\baseline.prompt.txt","0"
